num 	tox 	h0 	age_value 
1192 	5.5e-09 	100037.7707 	4.149047e-03 	
1731 	5.5e-09 	100267.1694 	4.139554e-03 	
1914 	5.5e-09 	100264.8496 	4.139650e-03 	
1427 	5.5e-09 	100297.5346 	4.138301e-03 	
1769 	5.5e-09 	100332.3469 	4.136865e-03 	
354 	5.5e-09 	100340.7181 	4.136520e-03 	
514 	5.5e-09 	100264.1543 	4.139679e-03 	
1032 	5.5e-09 	100342.137 	4.136461e-03 	
1592 	5.5e-09 	100377.0052 	4.135024e-03 	
81 	5.5e-09 	100411.6306 	4.133599e-03 	
1570 	5.5e-09 	100415.4329 	4.133442e-03 	
1501 	5.5e-09 	100430.1248 	4.132837e-03 	
528 	5.5e-09 	100484.2856 	4.130610e-03 	
1267 	5.5e-09 	100555.1181 	4.127700e-03 	
265 	5.5e-09 	100582.2781 	4.126586e-03 	
1375 	5.5e-09 	100593.8893 	4.126109e-03 	
1326 	5.5e-09 	100584.0387 	4.126513e-03 	
1462 	5.5e-09 	100650.8243 	4.123775e-03 	
1599 	5.5e-09 	100742.0076 	4.120043e-03 	
1680 	5.5e-09 	100720.0391 	4.120941e-03 	
703 	5.5e-09 	100750.069 	4.119713e-03 	
292 	5.5e-09 	100948.4469 	4.111617e-03 	
1331 	5.5e-09 	100973.4193 	4.110600e-03 	
1687 	5.5e-09 	101117.3674 	4.104749e-03 	
688 	5.5e-09 	101125.8389 	4.104405e-03 	
283 	5.5e-09 	101184.9633 	4.102006e-03 	
1609 	5.5e-09 	101228.8241 	4.100229e-03 	
1332 	5.5e-09 	101285.45 	4.097937e-03 	
58 	5.5e-09 	101435.1271 	4.091890e-03 	
1666 	5.5e-09 	101442.4114 	4.091596e-03 	
788 	5.5e-09 	101599.0563 	4.085288e-03 	
1520 	5.5e-09 	101518.9085 	4.088513e-03 	
1796 	5.5e-09 	101726.1024 	4.080186e-03 	
1422 	5.5e-09 	101745.7405 	4.079398e-03 	
284 	5.5e-09 	101817.3559 	4.076529e-03 	
617 	5.5e-09 	101796.0694 	4.077381e-03 	
1443 	5.5e-09 	101965.9938 	4.070586e-03 	
1291 	5.5e-09 	101972.2782 	4.070335e-03 	
1021 	5.5e-09 	102150.1029 	4.063250e-03 	
414 	5.5e-09 	102180.0856 	4.062057e-03 	
136 	5.5e-09 	102276.3077 	4.058236e-03 	
396 	5.5e-09 	102337.581 	4.055806e-03 	
1851 	5.5e-09 	102506.0993 	4.049138e-03 	
461 	5.5e-09 	102365.4219 	4.054703e-03 	
