num       tox                 	h0         	stress vth value	 stress ids value 	aged vth value 	   aged ids value 
1192 	5.5e-09  	100037.7707 	466.826 mV             	3.18282 mA      	625.763 mV        	2.71407 mA   
1731 	5.5e-09  	100267.1694 	466.826 mV             	3.18282 mA      	625.68 mV        	2.71438 mA   
1914 	5.5e-09  	100264.8496 	466.826 mV             	3.18282 mA      	625.681 mV        	2.71437 mA   
1427 	5.5e-09  	100297.5346 	466.826 mV             	3.18282 mA      	625.669 mV        	2.71442 mA   
1769 	5.5e-09  	100332.3469 	466.826 mV             	3.18282 mA      	625.656 mV        	2.71446 mA   
354 	5.5e-09  	100340.7181 	466.826 mV             	3.18282 mA      	625.653 mV        	2.71447 mA   
514 	5.5e-09  	100264.1543 	466.826 mV             	3.18282 mA      	625.681 mV        	2.71437 mA   
1032 	5.5e-09  	100342.137 	466.826 mV             	3.18282 mA      	625.653 mV        	2.71448 mA   
1592 	5.5e-09  	100377.0052 	466.826 mV             	3.18282 mA      	625.64 mV        	2.71452 mA   
81 	5.5e-09  	100411.6306 	466.826 mV             	3.18282 mA      	625.627 mV        	2.71457 mA   
1570 	5.5e-09  	100415.4329 	466.826 mV             	3.18282 mA      	625.626 mV        	2.71457 mA   
1501 	5.5e-09  	100430.1248 	466.826 mV             	3.18282 mA      	625.621 mV        	2.71459 mA   
528 	5.5e-09  	100484.2856 	466.826 mV             	3.18282 mA      	625.601 mV        	2.71467 mA   
1267 	5.5e-09  	100555.1181 	466.826 mV             	3.18282 mA      	625.575 mV        	2.71476 mA   
265 	5.5e-09  	100582.2781 	466.826 mV             	3.18282 mA      	625.566 mV        	2.7148 mA   
1375 	5.5e-09  	100593.8893 	466.826 mV             	3.18282 mA      	625.561 mV        	2.71481 mA   
1326 	5.5e-09  	100584.0387 	466.826 mV             	3.18282 mA      	625.565 mV        	2.7148 mA   
1462 	5.5e-09  	100650.8243 	466.826 mV             	3.18282 mA      	625.541 mV        	2.71489 mA   
1599 	5.5e-09  	100742.0076 	466.826 mV             	3.18282 mA      	625.508 mV        	2.71501 mA   
1680 	5.5e-09  	100720.0391 	466.826 mV             	3.18282 mA      	625.516 mV        	2.71498 mA   
703 	5.5e-09  	100750.069 	466.826 mV             	3.18282 mA      	625.505 mV        	2.71502 mA   
292 	5.5e-09  	100948.4469 	466.826 mV             	3.18282 mA      	625.433 mV        	2.71528 mA   
1331 	5.5e-09  	100973.4193 	466.826 mV             	3.18282 mA      	625.424 mV        	2.71532 mA   
1687 	5.5e-09  	101117.3674 	466.826 mV             	3.18282 mA      	625.372 mV        	2.71551 mA   
688 	5.5e-09  	101125.8389 	466.826 mV             	3.18282 mA      	625.369 mV        	2.71552 mA   
283 	5.5e-09  	101184.9633 	466.826 mV             	3.18282 mA      	625.348 mV        	2.7156 mA   
1609 	5.5e-09  	101228.8241 	466.826 mV             	3.18282 mA      	625.332 mV        	2.71566 mA   
1332 	5.5e-09  	101285.45 	466.826 mV             	3.18282 mA      	625.312 mV        	2.71573 mA   
58 	5.5e-09  	101435.1271 	466.826 mV             	3.18282 mA      	625.258 mV        	2.71593 mA   
1666 	5.5e-09  	101442.4114 	466.826 mV             	3.18282 mA      	625.256 mV        	2.71594 mA   
788 	5.5e-09  	101599.0563 	466.826 mV             	3.18282 mA      	625.2 mV        	2.71615 mA   
1520 	5.5e-09  	101518.9085 	466.826 mV             	3.18282 mA      	625.228 mV        	2.71604 mA   
1796 	5.5e-09  	101726.1024 	466.826 mV             	3.18282 mA      	625.154 mV        	2.71631 mA   
1422 	5.5e-09  	101745.7405 	466.826 mV             	3.18282 mA      	625.147 mV        	2.71634 mA   
284 	5.5e-09  	101817.3559 	466.826 mV             	3.18282 mA      	625.121 mV        	2.71643 mA   
617 	5.5e-09  	101796.0694 	466.826 mV             	3.18282 mA      	625.129 mV        	2.7164 mA   
1443 	5.5e-09  	101965.9938 	466.826 mV             	3.18282 mA      	625.068 mV        	2.71663 mA   
1291 	5.5e-09  	101972.2782 	466.826 mV             	3.18282 mA      	625.066 mV        	2.71664 mA   
1021 	5.5e-09  	102150.1029 	466.826 mV             	3.18282 mA      	625.003 mV        	2.71687 mA   
414 	5.5e-09  	102180.0856 	466.826 mV             	3.18282 mA      	624.992 mV        	2.71691 mA   
136 	5.5e-09  	102276.3077 	466.826 mV             	3.18282 mA      	624.958 mV        	2.71703 mA   
396 	5.5e-09  	102337.581 	466.826 mV             	3.18282 mA      	624.936 mV        	2.71711 mA   
1851 	5.5e-09  	102506.0993 	466.826 mV             	3.18282 mA      	624.877 mV        	2.71733 mA   
461 	5.5e-09  	102365.4219 	466.826 mV             	3.18282 mA      	624.926 mV        	2.71715 mA   
1984 	5.5e-09  	102554.198 	466.826 mV             	3.18282 mA      	624.86 mV        	2.7174 mA   
1007 	5.5e-09  	102558.9554 	466.826 mV             	3.18282 mA      	624.858 mV        	2.7174 mA   
1509 	5.5e-09  	102621.5529 	466.826 mV             	3.18282 mA      	624.836 mV        	2.71748 mA   
291 	5.5e-09  	102630.0302 	466.826 mV             	3.18282 mA      	624.833 mV        	2.7175 mA   
573 	5.5e-09  	102576.6377 	466.826 mV             	3.18282 mA      	624.852 mV        	2.71743 mA   
1536 	5.5e-09  	102578.8541 	466.826 mV             	3.18282 mA      	624.851 mV        	2.71743 mA   
1397 	5.5e-09  	102631.7177 	466.826 mV             	3.18282 mA      	624.832 mV        	2.7175 mA   
501 	5.5e-09  	102633.9342 	466.826 mV             	3.18282 mA      	624.831 mV        	2.7175 mA   
1487 	5.5e-09  	102721.9357 	466.826 mV             	3.18282 mA      	624.8 mV        	2.71761 mA   
1926 	5.5e-09  	102805.4695 	466.826 mV             	3.18282 mA      	624.771 mV        	2.71772 mA   
1137 	5.5e-09  	103037.907 	466.826 mV             	3.18282 mA      	624.689 mV        	2.71802 mA   
761 	5.5e-09  	102878.4424 	466.826 mV             	3.18282 mA      	624.745 mV        	2.71782 mA   
552 	5.5e-09  	103233.7315 	466.826 mV             	3.18282 mA      	624.62 mV        	2.71828 mA   
1292 	5.5e-09  	103219.5693 	466.826 mV             	3.18282 mA      	624.625 mV        	2.71826 mA   
1310 	5.5e-09  	103596.7075 	466.826 mV             	3.18282 mA      	624.493 mV        	2.71875 mA   
183 	5.5e-09  	103513.9451 	466.826 mV             	3.18282 mA      	624.522 mV        	2.71864 mA   
955 	5.5e-09  	103683.6263 	466.826 mV             	3.18282 mA      	624.462 mV        	2.71886 mA   
647 	5.5e-09  	103233.9057 	466.826 mV             	3.18282 mA      	624.62 mV        	2.71828 mA   
811 	5.5e-09  	103296.9283 	466.826 mV             	3.18282 mA      	624.598 mV        	2.71836 mA   
918 	5.5e-09  	103769.7614 	466.826 mV             	3.18282 mA      	624.432 mV        	2.71897 mA   
1940 	5.5e-09  	103977.005 	466.826 mV             	3.18282 mA      	624.36 mV        	2.71923 mA   
774 	5.5e-09  	103909.1928 	466.826 mV             	3.18282 mA      	624.383 mV        	2.71915 mA   
1814 	5.5e-09  	104167.8714 	466.826 mV             	3.18282 mA      	624.293 mV        	2.71948 mA   
1050 	5.5e-09  	104169.5482 	466.826 mV             	3.18282 mA      	624.293 mV        	2.71948 mA   
335 	5.5e-09  	104249.416 	466.826 mV             	3.18282 mA      	624.265 mV        	2.71958 mA   
422 	5.5e-09  	104266.7002 	466.826 mV             	3.18282 mA      	624.259 mV        	2.7196 mA   
1722 	5.5e-09  	104289.2669 	466.826 mV             	3.18282 mA      	624.251 mV        	2.71963 mA   
598 	5.5e-09  	104359.974 	466.826 mV             	3.18282 mA      	624.227 mV        	2.71972 mA   
1354 	5.5e-09  	104587.3343 	466.826 mV             	3.18282 mA      	624.148 mV        	2.72001 mA   
1917 	5.5e-09  	104576.6554 	466.826 mV             	3.18282 mA      	624.151 mV        	2.72 mA   
658 	5.5e-09  	104646.2203 	466.826 mV             	3.18282 mA      	624.127 mV        	2.72009 mA   
1543 	5.5e-09  	104744.8903 	466.826 mV             	3.18282 mA      	624.093 mV        	2.72021 mA   
1921 	5.5e-09  	104716.6379 	466.826 mV             	3.18282 mA      	624.103 mV        	2.72018 mA   
24 	5.5e-09  	104908.8877 	466.826 mV             	3.18282 mA      	624.037 mV        	2.72042 mA   
1162 	5.5e-09  	105047.446 	466.826 mV             	3.18282 mA      	623.989 mV        	2.72059 mA   
409 	5.5e-09  	105442.2893 	466.826 mV             	3.18282 mA      	623.853 mV        	2.72109 mA   
535 	5.5e-09  	105081.5522 	466.826 mV             	3.18282 mA      	623.977 mV        	2.72064 mA   
10 	5.5e-09  	105443.8303 	466.826 mV             	3.18282 mA      	623.853 mV        	2.72109 mA   
1963 	5.5e-09  	105241.8794 	466.826 mV             	3.18282 mA      	623.922 mV        	2.72084 mA   
487 	5.5e-09  	105411.0133 	466.826 mV             	3.18282 mA      	623.864 mV        	2.72105 mA   
498 	5.5e-09  	105536.0143 	466.826 mV             	3.18282 mA      	623.821 mV        	2.72121 mA   
157 	5.5e-09  	105520.2674 	466.826 mV             	3.18282 mA      	623.826 mV        	2.72119 mA   
97 	5.5e-09  	105620.8517 	466.826 mV             	3.18282 mA      	623.792 mV        	2.72132 mA   
877 	5.5e-09  	105702.2028 	466.826 mV             	3.18282 mA      	623.764 mV        	2.72142 mA   
1795 	5.5e-09  	105765.6108 	466.826 mV             	3.18282 mA      	623.742 mV        	2.7215 mA   
246 	5.5e-09  	105833.2289 	466.826 mV             	3.18282 mA      	623.719 mV        	2.72158 mA   
1376 	5.5e-09  	105871.47 	466.826 mV             	3.18282 mA      	623.706 mV        	2.72163 mA   
1124 	5.5e-09  	106060.5712 	466.826 mV             	3.18282 mA      	623.642 mV        	2.72187 mA   
888 	5.5e-09  	105920.4336 	466.826 mV             	3.18282 mA      	623.69 mV        	2.72169 mA   
1249 	5.5e-09  	106084.7867 	466.826 mV             	3.18282 mA      	623.634 mV        	2.7219 mA   
1745 	5.5e-09  	106415.5305 	466.826 mV             	3.18282 mA      	623.521 mV        	2.72231 mA   
812 	5.5e-09  	106663.2562 	466.826 mV             	3.18282 mA      	623.437 mV        	2.72262 mA   
1313 	5.5e-09  	106755.4184 	466.826 mV             	3.18282 mA      	623.406 mV        	2.72273 mA   
839 	5.5e-09  	106759.7078 	466.826 mV             	3.18282 mA      	623.405 mV        	2.72274 mA   
1176 	5.5e-09  	106954.5545 	466.826 mV             	3.18282 mA      	623.339 mV        	2.72298 mA   
1619 	5.5e-09  	107378.038 	466.826 mV             	3.18282 mA      	623.196 mV        	2.7235 mA   
75 	5.5e-09  	107432.3812 	466.826 mV             	3.18282 mA      	623.178 mV        	2.72357 mA   
900 	5.5e-09  	107554.6177 	466.826 mV             	3.18282 mA      	623.137 mV        	2.72372 mA   
1774 	5.5e-09  	107570.1192 	466.826 mV             	3.18282 mA      	623.132 mV        	2.72374 mA   
747 	5.5e-09  	107666.7879 	466.826 mV             	3.18282 mA      	623.099 mV        	2.72385 mA   
1644 	5.5e-09  	107851.7522 	466.826 mV             	3.18282 mA      	623.038 mV        	2.72408 mA   
270 	5.5e-09  	108052.8879 	466.826 mV             	3.18282 mA      	622.97 mV        	2.72433 mA   
766 	5.5e-09  	108085.5988 	466.826 mV             	3.18282 mA      	622.959 mV        	2.72437 mA   
579 	5.5e-09  	108160.058 	466.826 mV             	3.18282 mA      	622.935 mV        	2.72446 mA   
1669 	5.5e-09  	108639.3056 	466.826 mV             	3.18282 mA      	622.775 mV        	2.72504 mA   
661 	5.5e-09  	110422.5251 	466.826 mV             	3.18282 mA      	622.19 mV        	2.72718 mA   
357 	5.5e-09  	109698.6054 	466.826 mV             	3.18282 mA      	622.426 mV        	2.72632 mA   
368 	5.5e-09  	110105.1446 	466.826 mV             	3.18282 mA      	622.293 mV        	2.7268 mA   
636 	5.5e-09  	110127.7413 	466.826 mV             	3.18282 mA      	622.286 mV        	2.72683 mA   
1657 	5.5e-09  	110600.234 	466.826 mV             	3.18282 mA      	622.132 mV        	2.72739 mA   
1072 	5.5e-09  	110811.8349 	466.826 mV             	3.18282 mA      	622.064 mV        	2.72764 mA   
31 	5.5e-09  	110878.2992 	466.826 mV             	3.18282 mA      	622.042 mV        	2.72772 mA   
1417 	5.5e-09  	110958.8345 	466.826 mV             	3.18282 mA      	622.016 mV        	2.72781 mA   
1554 	5.5e-09  	111627.9969 	466.826 mV             	3.18282 mA      	621.8 mV        	2.7286 mA   
1506 	5.5e-09  	112722.9031 	466.826 mV             	3.18282 mA      	621.451 mV        	2.72988 mA   
116 	5.5e-09  	112890.7888 	466.826 mV             	3.18282 mA      	621.397 mV        	2.73007 mA   
1896 	5.5e-09  	113743.503 	466.826 mV             	3.18282 mA      	621.128 mV        	2.73105 mA   
1115 	5.5e-09  	113018.7094 	466.826 mV             	3.18282 mA      	621.357 mV        	2.73022 mA   
1436 	5.5e-09  	114560.8929 	466.826 mV             	3.18282 mA      	620.872 mV        	2.73198 mA   
201 	5.5e-09  	47267.8808 	466.826 mV             	3.18282 mA      	654.718 mV        	2.60338 mA   
1018 	5.5e-09  	123066.9773 	466.826 mV             	3.18282 mA      	618.327 mV        	2.74121 mA   
1165 	5.5e-09  	126283.1793 	466.826 mV             	3.18282 mA      	617.417 mV        	2.74449 mA   
1732 	5.5e-09  	52600.08844 	466.826 mV             	3.18282 mA      	650.38 mV        	2.62044 mA   
104 	5.5e-09  	54880.39074 	466.826 mV             	3.18282 mA      	648.677 mV        	2.62709 mA   
1823 	5.5e-09  	56132.73155 	466.826 mV             	3.18282 mA      	647.777 mV        	2.6306 mA   
1982 	5.5e-09  	47900.48575 	466.826 mV             	3.18282 mA      	654.174 mV        	2.60553 mA   
472 	5.5e-09  	49042.92637 	466.826 mV             	3.18282 mA      	653.213 mV        	2.60932 mA   
1908 	5.5e-09  	54481.32049 	466.826 mV             	3.18282 mA      	648.969 mV        	2.62596 mA   
274 	5.5e-09  	56138.53634 	466.826 mV             	3.18282 mA      	647.773 mV        	2.63062 mA   
162 	5.5e-09  	56361.86484 	466.826 mV             	3.18282 mA      	647.615 mV        	2.63123 mA   
1274 	5.5e-09  	56430.71036 	466.826 mV             	3.18282 mA      	647.566 mV        	2.63142 mA   
759 	5.5e-09  	56879.84173 	466.826 mV             	3.18282 mA      	647.251 mV        	2.63265 mA   
1169 	5.5e-09  	56684.42506 	466.826 mV             	3.18282 mA      	647.388 mV        	2.63212 mA   
859 	5.5e-09  	57433.65785 	466.826 mV             	3.18282 mA      	646.866 mV        	2.63414 mA   
1637 	5.5e-09  	57724.43931 	466.826 mV             	3.18282 mA      	646.666 mV        	2.63492 mA   
1648 	5.5e-09  	57779.06625 	466.826 mV             	3.18282 mA      	646.628 mV        	2.63507 mA   
998 	5.5e-09  	58315.65313 	466.826 mV             	3.18282 mA      	646.262 mV        	2.63649 mA   
1711 	5.5e-09  	58647.6631 	466.826 mV             	3.18282 mA      	646.037 mV        	2.63736 mA   
377 	5.5e-09  	58838.48157 	466.826 mV             	3.18282 mA      	645.909 mV        	2.63786 mA   
909 	5.5e-09  	58732.62411 	466.826 mV             	3.18282 mA      	645.98 mV        	2.63758 mA   
640 	5.5e-09  	58917.43999 	466.826 mV             	3.18282 mA      	645.856 mV        	2.63806 mA   
435 	5.5e-09  	59127.24682 	466.826 mV             	3.18282 mA      	645.715 mV        	2.63861 mA   
1527 	5.5e-09  	59277.99957 	466.826 mV             	3.18282 mA      	645.615 mV        	2.639 mA   
