num 	nn0 	nn0 	age_value 
1226 	0.09244698058 	0.09244698058 	4.975979e-03 	
1598 	0.09257989312 	0.09257989312 	4.975979e-03 	
669 	0.07593175887 	0.07593175887 	4.975979e-03 	
1667 	0.06384186281 	0.06384186281 	4.975979e-03 	
833 	0.08679788653 	0.08679788653 	4.975979e-03 	
1369 	0.09707256805 	0.09707256805 	4.975979e-03 	
1175 	0.07632966997 	0.07632966997 	4.975979e-03 	
1938 	0.107656394 	0.107656394 	4.975979e-03 	
999 	0.1134148365 	0.1134148365 	4.975979e-03 	
1976 	0.09884301963 	0.09884301963 	4.975979e-03 	
416 	0.1139612011 	0.1139612011 	4.975979e-03 	
578 	0.114582177 	0.114582177 	4.975979e-03 	
276 	0.1166763525 	0.1166763525 	4.975979e-03 	
957 	0.1180042274 	0.1180042274 	4.975979e-03 	
293 	0.1185444443 	0.1185444443 	4.975979e-03 	
1500 	0.1193130461 	0.1193130461 	4.975979e-03 	
1517 	0.1290305752 	0.1290305752 	4.975979e-03 	
852 	0.1281716253 	0.1281716253 	4.975979e-03 	
500 	0.1234135904 	0.1234135904 	4.975979e-03 	
1262 	0.1231319821 	0.1231319821 	4.975979e-03 	
964 	0.1310014911 	0.1310014911 	4.975979e-03 	
1860 	0.1299218791 	0.1299218791 	4.975979e-03 	
88 	0.1242929655 	0.1242929655 	4.975979e-03 	
499 	0.132207686 	0.132207686 	4.975979e-03 	
810 	0.1324005173 	0.1324005173 	4.975979e-03 	
1965 	0.1329588593 	0.1329588593 	4.975979e-03 	
1853 	0.1362592187 	0.1362592187 	4.975979e-03 	
1768 	0.1409302699 	0.1409302699 	4.975979e-03 	
1915 	0.1414096197 	0.1414096197 	4.975979e-03 	
1499 	0.1416477232 	0.1416477232 	4.975979e-03 	
1607 	0.1438771092 	0.1438771092 	4.975979e-03 	
355 	0.1452644188 	0.1452644188 	4.975979e-03 	
1039 	0.146346003 	0.146346003 	4.975979e-03 	
1751 	0.1466814459 	0.1466814459 	4.975979e-03 	
1423 	0.1476744945 	0.1476744945 	4.975979e-03 	
1946 	0.1499419677 	0.1499419677 	4.975979e-03 	
1114 	0.1479839761 	0.1479839761 	4.975979e-03 	
758 	0.1526105923 	0.1526105923 	4.975979e-03 	
1990 	0.1523503116 	0.1523503116 	4.975979e-03 	
529 	0.1510867735 	0.1510867735 	4.975979e-03 	
