num 	nn0 	nn0 	degrad_value 
1226 	0.09244698058 	0.09244698058 	6.125e-01 	
1598 	0.09257989312 	0.09257989312 	6.120e-01 	
669 	0.07593175887 	0.07593175887 	6.685e-01 	
1667 	0.06384186281 	0.06384186281 	7.128e-01 	
833 	0.08679788653 	0.08679788653 	6.311e-01 	
1369 	0.09707256805 	0.09707256805 	5.976e-01 	
1175 	0.07632966997 	0.07632966997 	6.671e-01 	
1938 	0.107656394 	0.107656394 	5.650e-01 	
999 	0.1134148365 	0.1134148365 	5.480e-01 	
1976 	0.09884301963 	0.09884301963 	5.920e-01 	
416 	0.1139612011 	0.1139612011 	5.464e-01 	
578 	0.114582177 	0.114582177 	5.446e-01 	
276 	0.1166763525 	0.1166763525 	5.386e-01 	
957 	0.1180042274 	0.1180042274 	5.348e-01 	
293 	0.1185444443 	0.1185444443 	5.333e-01 	
1500 	0.1193130461 	0.1193130461 	5.311e-01 	
1517 	0.1290305752 	0.1290305752 	5.045e-01 	
852 	0.1281716253 	0.1281716253 	5.068e-01 	
500 	0.1234135904 	0.1234135904 	5.197e-01 	
1262 	0.1231319821 	0.1231319821 	5.205e-01 	
964 	0.1310014911 	0.1310014911 	4.992e-01 	
1860 	0.1299218791 	0.1299218791 	5.021e-01 	
88 	0.1242929655 	0.1242929655 	5.173e-01 	
499 	0.132207686 	0.132207686 	4.960e-01 	
810 	0.1324005173 	0.1324005173 	4.955e-01 	
1965 	0.1329588593 	0.1329588593 	4.941e-01 	
1853 	0.1362592187 	0.1362592187 	4.855e-01 	
1768 	0.1409302699 	0.1409302699 	4.736e-01 	
1915 	0.1414096197 	0.1414096197 	4.724e-01 	
1499 	0.1416477232 	0.1416477232 	4.718e-01 	
1607 	0.1438771092 	0.1438771092 	4.663e-01 	
355 	0.1452644188 	0.1452644188 	4.628e-01 	
1039 	0.146346003 	0.146346003 	4.602e-01 	
1751 	0.1466814459 	0.1466814459 	4.594e-01 	
1423 	0.1476744945 	0.1476744945 	4.570e-01 	
1946 	0.1499419677 	0.1499419677 	4.515e-01 	
1114 	0.1479839761 	0.1479839761 	4.562e-01 	
758 	0.1526105923 	0.1526105923 	4.452e-01 	
1990 	0.1523503116 	0.1523503116 	4.458e-01 	
529 	0.1510867735 	0.1510867735 	4.488e-01 	
880 	0.1531074268 	0.1531074268 	4.440e-01 	
875 	0.1531118717 	0.1531118717 	4.440e-01 	
803 	0.1533486333 	0.1533486333 	4.434e-01 	
1481 	0.1543233659 	0.1543233659 	4.411e-01 	
334 	0.1534042152 	0.1534042152 	4.433e-01 	
1929 	0.1548732639 	0.1548732639 	4.399e-01 	
478 	0.1559304199 	0.1559304199 	4.374e-01 	
304 	0.1560421303 	0.1560421303 	4.371e-01 	
415 	0.1561756732 	0.1561756732 	4.368e-01 	
553 	0.1587739344 	0.1587739344 	4.308e-01 	
1356 	0.1592197992 	0.1592197992 	4.298e-01 	
1296 	0.1593571409 	0.1593571409 	4.295e-01 	
1861 	0.159389895 	0.159389895 	4.294e-01 	
956 	0.1611825007 	0.1611825007 	4.254e-01 	
1606 	0.1644867515 	0.1644867515 	4.180e-01 	
1744 	0.1644080482 	0.1644080482 	4.182e-01 	
1096 	0.1617814102 	0.1617814102 	4.240e-01 	
218 	0.1624039814 	0.1624039814 	4.226e-01 	
1442 	0.1640930822 	0.1640930822 	4.189e-01 	
767 	0.1654538312 	0.1654538312 	4.159e-01 	
1839 	0.1665337106 	0.1665337106 	4.135e-01 	
1382 	0.1634425626 	0.1634425626 	4.203e-01 	
234 	0.1675650332 	0.1675650332 	4.112e-01 	
592 	0.1676366451 	0.1676366451 	4.111e-01 	
587 	0.1684948133 	0.1684948133 	4.092e-01 	
954 	0.168626128 	0.168626128 	4.089e-01 	
634 	0.1687749129 	0.1687749129 	4.086e-01 	
1804 	0.169469776 	0.169469776 	4.071e-01 	
285 	0.1706315861 	0.1706315861 	4.046e-01 	
437 	0.1689010057 	0.1689010057 	4.083e-01 	
142 	0.1708654222 	0.1708654222 	4.041e-01 	
1058 	0.1714271506 	0.1714271506 	4.029e-01 	
1705 	0.1713906599 	0.1713906599 	4.030e-01 	
423 	0.1714628181 	0.1714628181 	4.028e-01 	
1674 	0.1716446599 	0.1716446599 	4.024e-01 	
1013 	0.1715614677 	0.1715614677 	4.026e-01 	
374 	0.1722934036 	0.1722934036 	4.010e-01 	
2 	0.173280315 	0.173280315 	3.989e-01 	
1339 	0.1739591189 	0.1739591189 	3.975e-01 	
103 	0.1740323498 	0.1740323498 	3.974e-01 	
177 	0.1734503218 	0.1734503218 	3.986e-01 	
1143 	0.1745453068 	0.1745453068 	3.963e-01 	
768 	0.1745109139 	0.1745109139 	3.964e-01 	
1347 	0.1743379562 	0.1743379562 	3.967e-01 	
1384 	0.1750078508 	0.1750078508 	3.953e-01 	
459 	0.1753253341 	0.1753253341 	3.946e-01 	
1710 	0.1755249717 	0.1755249717 	3.942e-01 	
1293 	0.1756517738 	0.1756517738 	3.940e-01 	
395 	0.1758392187 	0.1758392187 	3.936e-01 	
51 	0.175986913 	0.175986913 	3.933e-01 	
401 	0.1764965342 	0.1764965342 	3.922e-01 	
124 	0.1768113809 	0.1768113809 	3.915e-01 	
11 	0.1771274491 	0.1771274491 	3.909e-01 	
1060 	0.1774122504 	0.1774122504 	3.903e-01 	
1555 	0.1784945801 	0.1784945801 	3.881e-01 	
221 	0.1785789754 	0.1785789754 	3.879e-01 	
515 	0.1788594684 	0.1788594684 	3.873e-01 	
1157 	0.1804007398 	0.1804007398 	3.842e-01 	
977 	0.1801680426 	0.1801680426 	3.846e-01 	
489 	0.1807462625 	0.1807462625 	3.835e-01 	
1537 	0.1797259952 	0.1797259952 	3.855e-01 	
1797 	0.1815353313 	0.1815353313 	3.819e-01 	
1642 	0.1820770678 	0.1820770678 	3.808e-01 	
702 	0.1819242582 	0.1819242582 	3.811e-01 	
1313 	0.1822765946 	0.1822765946 	3.804e-01 	
1730 	0.1837792202 	0.1837792202 	3.773e-01 	
1444 	0.1838699765 	0.1838699765 	3.772e-01 	
760 	0.1841374877 	0.1841374877 	3.766e-01 	
1832 	0.1847754233 	0.1847754233 	3.754e-01 	
349 	0.1847886791 	0.1847886791 	3.753e-01 	
1508 	0.1852340725 	0.1852340725 	3.744e-01 	
1020 	0.1856078096 	0.1856078096 	3.737e-01 	
146 	0.1860366755 	0.1860366755 	3.729e-01 	
1451 	0.186234626 	0.186234626 	3.725e-01 	
1229 	0.1872799566 	0.1872799566 	3.704e-01 	
1902 	0.1875620583 	0.1875620583 	3.698e-01 	
1823 	0.1878005807 	0.1878005807 	3.694e-01 	
52 	0.1873397248 	0.1873397248 	3.703e-01 	
572 	0.1877277403 	0.1877277403 	3.695e-01 	
725 	0.1885886653 	0.1885886653 	3.678e-01 	
1463 	0.1880343365 	0.1880343365 	3.689e-01 	
12 	0.1886447889 	0.1886447889 	3.677e-01 	
472 	0.1888748259 	0.1888748259 	3.673e-01 	
95 	0.1902527527 	0.1902527527 	3.646e-01 	
319 	0.1901480061 	0.1901480061 	3.648e-01 	
182 	0.1904876139 	0.1904876139 	3.642e-01 	
1999 	0.1910629411 	0.1910629411 	3.630e-01 	
1414 	0.1913896151 	0.1913896151 	3.624e-01 	
1733 	0.19243176 	0.19243176 	3.604e-01 	
1663 	0.1917405024 	0.1917405024 	3.617e-01 	
1649 	0.192468036 	0.192468036 	3.603e-01 	
1190 	0.1929879944 	0.1929879944 	3.594e-01 	
536 	0.1929949601 	0.1929949601 	3.593e-01 	
105 	0.194373101 	0.194373101 	3.567e-01 	
1761 	0.1933264334 	0.1933264334 	3.587e-01 	
1908 	0.1945374354 	0.1945374354 	3.564e-01 	
1775 	0.1943856054 	0.1943856054 	3.567e-01 	
1962 	0.1946801432 	0.1946801432 	3.561e-01 	
1302 	0.1948253745 	0.1948253745 	3.559e-01 	
257 	0.1948475699 	0.1948475699 	3.558e-01 	
1580 	0.1950401819 	0.1950401819 	3.555e-01 	
1879 	0.1960800208 	0.1960800208 	3.535e-01 	
1948 	0.1954515041 	0.1954515041 	3.547e-01 	
1092 	0.1949618973 	0.1949618973 	3.556e-01 	
1939 	0.1960862292 	0.1960862292 	3.535e-01 	
570 	0.1962718638 	0.1962718638 	3.532e-01 	
191 	0.1966490288 	0.1966490288 	3.524e-01 	
869 	0.1970393262 	0.1970393262 	3.517e-01 	
648 	0.1967044364 	0.1967044364 	3.523e-01 	
1168 	0.1972701531 	0.1972701531 	3.513e-01 	
94 	0.1973383914 	0.1973383914 	3.512e-01 	
909 	0.1977869548 	0.1977869548 	3.503e-01 	
1059 	0.1982607125 	0.1982607125 	3.494e-01 	
1528 	0.1980850364 	0.1980850364 	3.498e-01 	
1182 	0.1988396096 	0.1988396096 	3.484e-01 	
189 	0.1989172858 	0.1989172858 	3.482e-01 	
114 	0.1994156596 	0.1994156596 	3.473e-01 	
786 	0.199502176 	0.199502176 	3.472e-01 	
1052 	0.2008719881 	0.2008719881 	3.446e-01 	
25 	0.1996041883 	0.1996041883 	3.470e-01 	
39 	0.2003202177 	0.2003202177 	3.457e-01 	
824 	0.2010067159 	0.2010067159 	3.444e-01 	
1562 	0.2011136107 	0.2011136107 	3.442e-01 	
1051 	0.2016554456 	0.2016554456 	3.432e-01 	
1810 	0.2020043111 	0.2020043111 	3.426e-01 	
831 	0.2022620358 	0.2022620358 	3.421e-01 	
1031 	0.2023614402 	0.2023614402 	3.419e-01 	
1808 	0.2028619436 	0.2028619436 	3.410e-01 	
1097 	0.2034750062 	0.2034750062 	3.399e-01 	
825 	0.203478369 	0.203478369 	3.399e-01 	
47 	0.2035480082 	0.2035480082 	3.398e-01 	
1312 	0.2037924173 	0.2037924173 	3.393e-01 	
1920 	0.2039407995 	0.2039407995 	3.391e-01 	
408 	0.2047232003 	0.2047232003 	3.377e-01 	
859 	0.2048616537 	0.2048616537 	3.374e-01 	
1906 	0.2049053046 	0.2049053046 	3.373e-01 	
782 	0.2048992305 	0.2048992305 	3.374e-01 	
1838 	0.2052257287 	0.2052257287 	3.368e-01 	
262 	0.2052162453 	0.2052162453 	3.368e-01 	
176 	0.2058199265 	0.2058199265 	3.357e-01 	
1985 	0.2058787439 	0.2058787439 	3.356e-01 	
1377 	0.2057743131 	0.2057743131 	3.358e-01 	
473 	0.2059486408 	0.2059486408 	3.355e-01 	
1553 	0.2064043704 	0.2064043704 	3.347e-01 	
1778 	0.2076343102 	0.2076343102 	3.325e-01 	
1415 	0.206396867 	0.206396867 	3.347e-01 	
614 	0.2076318217 	0.2076318217 	3.325e-01 	
1542 	0.2075014125 	0.2075014125 	3.327e-01 	
1103 	0.2079332129 	0.2079332129 	3.320e-01 	
847 	0.2081153485 	0.2081153485 	3.317e-01 	
1984 	0.2083237061 	0.2083237061 	3.313e-01 	
1269 	0.206115177 	0.206115177 	3.352e-01 	
1909 	0.208371545 	0.208371545 	3.312e-01 	
1535 	0.208400424 	0.208400424 	3.312e-01 	
937 	0.2085490417 	0.2085490417 	3.309e-01 	
1872 	0.2086661513 	0.2086661513 	3.307e-01 	
156 	0.2087856888 	0.2087856888 	3.305e-01 	
227 	0.2089758243 	0.2089758243 	3.301e-01 	
1001 	0.2092781566 	0.2092781566 	3.296e-01 	
1556 	0.2094600958 	0.2094600958 	3.293e-01 	
1719 	0.2101651605 	0.2101651605 	3.281e-01 	
1248 	0.2104659998 	0.2104659998 	3.275e-01 	
236 	0.2104575074 	0.2104575074 	3.276e-01 	
889 	0.210478112 	0.210478112 	3.275e-01 	
388 	0.2105491899 	0.2105491899 	3.274e-01 	
1405 	0.2106346626 	0.2106346626 	3.273e-01 	
731 	0.2110507294 	0.2110507294 	3.265e-01 	
654 	0.2112233199 	0.2112233199 	3.262e-01 	
571 	0.2112943099 	0.2112943099 	3.261e-01 	
947 	0.2114174632 	0.2114174632 	3.259e-01 	
1290 	0.2117256731 	0.2117256731 	3.254e-01 	
1125 	0.2117445818 	0.2117445818 	3.253e-01 	
749 	0.2123268881 	0.2123268881 	3.243e-01 	
908 	0.2125956255 	0.2125956255 	3.239e-01 	
724 	0.2126991835 	0.2126991835 	3.237e-01 	
1045 	0.2127949981 	0.2127949981 	3.235e-01 	
19 	0.2129933869 	0.2129933869 	3.232e-01 	
1581 	0.2130460804 	0.2130460804 	3.231e-01 	
1817 	0.213274569 	0.213274569 	3.227e-01 	
1203 	0.213645778 	0.213645778 	3.221e-01 	
446 	0.2138046824 	0.2138046824 	3.218e-01 	
1955 	0.2140208754 	0.2140208754 	3.214e-01 	
1688 	0.2142805651 	0.2142805651 	3.210e-01 	
1651 	0.2146492348 	0.2146492348 	3.204e-01 	
434 	0.214282579 	0.214282579 	3.210e-01 	
1723 	0.214623515 	0.214623515 	3.204e-01 	
992 	0.2147179041 	0.2147179041 	3.202e-01 	
1822 	0.2146732035 	0.2146732035 	3.203e-01 	
919 	0.2149076674 	0.2149076674 	3.199e-01 	
986 	0.2152319864 	0.2152319864 	3.194e-01 	
1645 	0.2152884283 	0.2152884283 	3.193e-01 	
525 	0.2155265151 	0.2155265151 	3.189e-01 	
362 	0.2153289657 	0.2153289657 	3.192e-01 	
1780 	0.2153529739 	0.2153529739 	3.192e-01 	
683 	0.2149504221 	0.2149504221 	3.198e-01 	
443 	0.2154615661 	0.2154615661 	3.190e-01 	
364 	0.2155221899 	0.2155221899 	3.189e-01 	
1354 	0.2159861797 	0.2159861797 	3.181e-01 	
609 	0.2167860113 	0.2167860113 	3.167e-01 	
5 	0.2169486356 	0.2169486356 	3.165e-01 	
1695 	0.2160555013 	0.2160555013 	3.180e-01 	
776 	0.2172222501 	0.2172222501 	3.160e-01 	
1429 	0.2171813581 	0.2171813581 	3.161e-01 	
1038 	0.2173868787 	0.2173868787 	3.157e-01 	
1815 	0.2174771091 	0.2174771091 	3.156e-01 	
365 	0.2184337093 	0.2184337093 	3.140e-01 	
1786 	0.2187651935 	0.2187651935 	3.134e-01 	
23 	0.2177491943 	0.2177491943 	3.151e-01 	
1991 	0.2186559515 	0.2186559515 	3.136e-01 	
264 	0.2186918355 	0.2186918355 	3.136e-01 	
998 	0.2182515933 	0.2182515933 	3.143e-01 	
1428 	0.219781812 	0.219781812 	3.118e-01 	
898 	0.2199973084 	0.2199973084 	3.114e-01 	
206 	0.2198105164 	0.2198105164 	3.117e-01 	
