num       tox                 	h0         	stress vth value	 stress ids value 	aged vth value 	   aged ids value 
1226 	0.09244698058  	0.09244698058 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1598 	0.09257989312  	0.09257989312 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
669 	0.07593175887  	0.07593175887 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1667 	0.06384186281  	0.06384186281 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
833 	0.08679788653  	0.08679788653 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1369 	0.09707256805  	0.09707256805 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1175 	0.07632966997  	0.07632966997 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1938 	0.107656394  	0.107656394 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
999 	0.1134148365  	0.1134148365 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1976 	0.09884301963  	0.09884301963 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
416 	0.1139612011  	0.1139612011 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
578 	0.114582177  	0.114582177 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
276 	0.1166763525  	0.1166763525 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
957 	0.1180042274  	0.1180042274 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
293 	0.1185444443  	0.1185444443 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1500 	0.1193130461  	0.1193130461 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1517 	0.1290305752  	0.1290305752 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
852 	0.1281716253  	0.1281716253 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
500 	0.1234135904  	0.1234135904 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1262 	0.1231319821  	0.1231319821 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
964 	0.1310014911  	0.1310014911 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1860 	0.1299218791  	0.1299218791 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
88 	0.1242929655  	0.1242929655 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
499 	0.132207686  	0.132207686 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
810 	0.1324005173  	0.1324005173 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1965 	0.1329588593  	0.1329588593 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1853 	0.1362592187  	0.1362592187 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1768 	0.1409302699  	0.1409302699 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1915 	0.1414096197  	0.1414096197 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1499 	0.1416477232  	0.1416477232 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1607 	0.1438771092  	0.1438771092 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
355 	0.1452644188  	0.1452644188 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1039 	0.146346003  	0.146346003 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1751 	0.1466814459  	0.1466814459 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1423 	0.1476744945  	0.1476744945 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1946 	0.1499419677  	0.1499419677 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1114 	0.1479839761  	0.1479839761 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
758 	0.1526105923  	0.1526105923 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1990 	0.1523503116  	0.1523503116 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
529 	0.1510867735  	0.1510867735 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
880 	0.1531074268  	0.1531074268 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
875 	0.1531118717  	0.1531118717 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
803 	0.1533486333  	0.1533486333 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1481 	0.1543233659  	0.1543233659 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
334 	0.1534042152  	0.1534042152 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1929 	0.1548732639  	0.1548732639 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
478 	0.1559304199  	0.1559304199 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
304 	0.1560421303  	0.1560421303 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
415 	0.1561756732  	0.1561756732 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
553 	0.1587739344  	0.1587739344 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1356 	0.1592197992  	0.1592197992 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1296 	0.1593571409  	0.1593571409 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1861 	0.159389895  	0.159389895 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
956 	0.1611825007  	0.1611825007 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1606 	0.1644867515  	0.1644867515 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1744 	0.1644080482  	0.1644080482 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1096 	0.1617814102  	0.1617814102 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
218 	0.1624039814  	0.1624039814 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1442 	0.1640930822  	0.1640930822 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
767 	0.1654538312  	0.1654538312 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1839 	0.1665337106  	0.1665337106 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1382 	0.1634425626  	0.1634425626 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
234 	0.1675650332  	0.1675650332 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
592 	0.1676366451  	0.1676366451 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
587 	0.1684948133  	0.1684948133 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
954 	0.168626128  	0.168626128 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
634 	0.1687749129  	0.1687749129 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1804 	0.169469776  	0.169469776 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
285 	0.1706315861  	0.1706315861 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
437 	0.1689010057  	0.1689010057 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
142 	0.1708654222  	0.1708654222 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1058 	0.1714271506  	0.1714271506 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1705 	0.1713906599  	0.1713906599 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
423 	0.1714628181  	0.1714628181 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1674 	0.1716446599  	0.1716446599 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1013 	0.1715614677  	0.1715614677 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
374 	0.1722934036  	0.1722934036 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
2 	0.173280315  	0.173280315 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1339 	0.1739591189  	0.1739591189 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
103 	0.1740323498  	0.1740323498 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
177 	0.1734503218  	0.1734503218 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1143 	0.1745453068  	0.1745453068 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
768 	0.1745109139  	0.1745109139 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1347 	0.1743379562  	0.1743379562 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1384 	0.1750078508  	0.1750078508 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
459 	0.1753253341  	0.1753253341 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1710 	0.1755249717  	0.1755249717 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1293 	0.1756517738  	0.1756517738 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
395 	0.1758392187  	0.1758392187 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
51 	0.175986913  	0.175986913 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
401 	0.1764965342  	0.1764965342 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
124 	0.1768113809  	0.1768113809 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
11 	0.1771274491  	0.1771274491 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1060 	0.1774122504  	0.1774122504 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1555 	0.1784945801  	0.1784945801 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
221 	0.1785789754  	0.1785789754 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
515 	0.1788594684  	0.1788594684 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1157 	0.1804007398  	0.1804007398 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
977 	0.1801680426  	0.1801680426 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
489 	0.1807462625  	0.1807462625 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1537 	0.1797259952  	0.1797259952 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
